Time;Frequency;L1C [A];L1V [V];L1P ;L1Q [kVar];L1CosPhi;L2C [A];L2V [V];L2P [kW];L2Q [kVar];L2CosPhi;L3C [A];L3V [V];L3P [kW];L3Q [kVar];L3CosPhi
2024-08-20 19:15.15;50.0;0.1;13.36;0.0;-0.0;0.81;0.15;12.35;0.0;-0.0;0.88;0.12;12.65;0.0;-0.0;0.6
2024-08-20 19:15.16;50.0;0.09;13.51;0.0;-0.0;0.81;0.14;12.56;0.0;-0.0;0.86;0.11;13.02;0.0;-0.0;0.68
2024-08-20 19:15.17;50.0;0.1;13.24;0.0;-0.0;0.86;0.16;12.22;0.0;-0.0;0.91;0.14;12.58;0.0;-0.0;0.67
2024-08-20 19:15.18;50.0;0.1;13.35;0.0;-0.0;0.82;0.14;12.42;0.0;-0.0;0.88;0.11;12.71;0.0;-0.0;0.68
2024-08-20 19:15.19;49.99;0.09;13.32;0.0;-0.0;0.76;0.15;12.38;0.0;-0.0;0.86;0.11;12.83;0.0;-0.0;0.65
2024-08-20 19:15.20;50.0;0.09;12.46;0.0;-0.0;0.81;0.14;11.51;0.0;-0.0;0.86;0.13;11.77;0.0;-0.0;0.65
2024-08-20 19:15.21;50.0;0.09;13.83;0.0;-0.0;0.8;0.15;12.95;0.0;-0.0;0.85;0.11;13.29;0.0;-0.0;0.69
2024-08-20 19:15.22;49.99;0.1;13.33;0.0;-0.0;0.83;0.15;12.31;0.0;-0.0;0.89;0.12;12.57;0.0;-0.0;0.66
2024-08-20 19:15.23;50.0;0.1;12.93;0.0;-0.0;0.82;0.15;12.05;0.0;-0.0;0.89;0.12;12.4;0.0;-0.0;0.68
2024-08-20 19:15.24;50.0;0.1;12.26;0.0;-0.0;0.79;0.16;11.46;0.0;-0.0;0.87;0.12;11.74;0.0;-0.0;0.62
